,Producto,MAE,MSE,R2,SMAPE,MAPE lib,MAPE2,MAPE3,valor real,valor predecido,error
0,Producto 273,52.346240218962244,4202.757692598221,0.365818540285451,26.24573981369123,0.3185085486043352,0.08493561296115605,0.3185085486043352,1585.5,1711.4178064031075,-7.9418357870140355
0,Producto 0,31.196143497523757,2991.0578475531765,-0.04680809241312467,60.095192584782474,0.9134582995660656,0.24358887988428415,0.9134582995660656,392.0,333.56713925246805,14.906342027431618
0,Producto 1,10.685491514409735,151.65322404735733,-0.4379504928376412,52.95899158789276,1.25959735945045,0.33589262918678664,1.25959735945045,164.5,209.70770267811167,-27.481886126511657
0,Producto 5,4.024605674953833,31.415018482909215,-0.032248072343057155,24.541843772151232,0.33635929543737386,0.08969581211663304,0.33635929543737386,150.5,165.44131398946712,-9.927783381705726
0,Producto 8,6.666297544251506,68.19941111398704,-1.2409253298909872,91.03688858922953,1.4413578677019184e+16,0.22396291126559667,4.040318300140568,45.5,98.83038035401205,-117.20962715167485
0,Producto 21,2.7549325407836194,9.081937897914738,-0.48276537108812057,111.58360123824966,3493695244861189.0,0.11350828574912253,1.2014122519328727,28.0,18.372638559709657,34.38343371532265
0,Producto 12,1.3005656763645568,4.308336727487822,-0.500590751342697,24.839629246065662,0.19025994720508266,0.05073598592135538,0.19025994720508266,38.5,28.106424380296612,26.996300310917892
0,Producto 22,3.5248668035630537,14.119302062493439,-9.53802136442659,176.44004628423014,1.5633725959365544e+16,0.004074841859773353,3.4866651611276787,3.5,31.69893442850443,-805.6838408144122
0,Producto 186,7.046090250908211,60.09331847622349,-0.794039595325156,136.79830649022384,1.8272150025462148e+16,0.08101893160953448,4.3610533270703975,38.5,54.99277788528714,-42.838384117628934
0,Producto 20,0.8046315334156351,0.8460455540819092,0.36854909083099485,156.69337342446784,2791506266142904.0,0.014079438278414062,0.6726367995555032,3.5,6.980370228858128,-99.4391493959465
0,Producto 33,3.085606220478499,15.505472223813541,0.14728230090305772,81.9590457791139,4479499094292387.5,0.06980730527910593,1.256426001450836,38.5,32.96108697836238,14.38678706918862
0,Producto 245,2.5130713320442695,9.211695593829422,-0.503950301033375,83.62354907602662,4729783225462882.0,0.07202049917356841,1.3202997195798276,28.0,28.461033649160665,-1.646548747002376
0,Producto 16,1.9996253190034967,4.863602843598638,-0.6939895618520426,134.83018064495934,7638051721526625.0,0.02313425844572664,1.7827416460748096,10.5,21.63880827842538,-106.08388836595599
0,Producto 17,3.407305193257381,19.205853418134005,0.10410013209870528,126.23899206339924,7154920575353126.0,0.04978745164638561,1.7754144560982086,28.0,26.160942652729155,6.568061954538733
0,Producto 38,1.7939138011434783,3.530182766321108,-0.5369503200309584,171.2238350109751,5731280336397369.0,0.039719156048268485,1.4215467131909612,7.0,13.010287639011443,-85.86125198587776
0,Producto 134,0.951638617522987,1.4323011102941143,0.0,200.0,4285799323267898.0,0.0,0.951638617522987,0.0,7.613108940183896,-inf
0,Producto 37,2.033615962338997,5.287518992785561,0.10888422504733142,171.04869619327872,5494541695900308.0,0.03897376027543736,1.3661849411431857,10.5,13.751605743052751,-30.967673743359537
0,Producto 59,1.1995895499294245,1.8636505168292945,0.350891792777824,150.70195716571197,2546452670017388.0,0.0483172169794379,0.746615640747194,10.5,9.950100833753435,5.237134916633951
0,Producto 248,4.276385204505411,26.748850640682463,-1.1835796441373438,105.56015582748509,1.1313015952918214e+16,0.09925021519514095,2.88418246475808,28.0,47.180183764689886,-68.50065630246388
0,Producto 122,1.084490261450227,1.2634573439768713,0.0,200.0,4884109937354174.0,0.0,1.084490261450227,0.0,8.675922091601816,-inf
