,Producto,MAE,MSE,R2,SMAPE,MAPE lib,MAPE2,MAPE3,valor real,valor predecido,error,error por semana
0,Producto 273,107.30947347364146,18019.026755028237,-0.38765018147956876,43.06381781657858,1.8557567890584776,1.9176153486937604,1.8557567890584776,8452.5,7084.204967971748,16.18805125144338,4.047012812860845
0,Producto 0,20.262914056341224,1048.0088998372553,-0.1228827446173908,50.10274175210223,0.9415877287661378,0.9729739863916758,0.9415877287661378,1186.5,1416.8965064495544,-19.41816320687353,-4.854540801718382
0,Producto 1,14.262463048597494,291.64385856181553,-0.3618549469285943,60.48188460638438,5240341301266362.0,1.0817067922715526,2.210402538690935,731.5,940.289479349629,-28.54264926174012,-7.13566231543503
0,Producto 5,7.463291762649695,93.85985973770883,-0.03270830589848228,38.73335445708625,3451022000886914.5,0.44021208684779617,1.192292513724006,651.0,689.1153083559443,-5.854886076181922,-1.4637215190454804
0,Producto 8,9.031194040806126,110.91065185289482,-0.3979478572823034,70.53420554090916,7991282636877044.0,0.9610565721371594,2.704475943179134,399.0,525.9476947973599,-31.816464861493703,-7.954116215373426
0,Producto 21,5.705832669373275,92.58623989430154,-6.964140399071231,97.16761641703282,1.2769840806536238e+16,0.6346134316470644,3.4496162874690732,133.0,231.23575744574333,-73.86147176371679,-18.465367940929198
0,Producto 12,2.6582353890672485,9.387431354205932,-0.187797436654628,120.27752544228107,2972963661461885.5,0.4166630398124473,1.0633528382584696,108.5,67.31644263928871,37.95719572415787,9.489298931039468
0,Producto 22,2.9598557808574255,12.400125851395787,-0.25035632371768,126.69066695632827,1.0318103804967522e+16,0.08643379798605605,2.374724893903723,70.0,123.20652455387922,-76.00932079125603,-19.002330197814008
0,Producto 186,4.708370178209073,33.47909442256645,-0.15294152550881912,87.77232184861373,7752684389045803.0,0.36372604800514935,2.073434691956536,203.0,203.98339800389192,-0.4844325142324733,-0.12110812855811832
0,Producto 20,1.725110823690311,4.467942058529357,-0.2886231447319063,159.7040407731819,4550006880679061.0,0.1879402618439131,1.1921821529787302,35.0,44.160442239646834,-26.172692113276668,-6.543173028319167
0,Producto 33,3.4516593417321517,17.555546782826582,0.009198035043526898,101.39790237666054,6210484194127654.0,0.339021405589113,1.7070897404934968,129.5,138.03390782783893,-6.589890214547436,-1.647472553636859
0,Producto 245,4.317202327815187,38.34961350063178,-0.25458217133690186,136.0638301315593,3531933856122088.5,0.3870701691108467,1.1588308923273716,150.5,65.29003301537541,56.61791826220903,14.154479565552258
0,Producto 16,3.5908451531313315,28.07325399012101,-0.0732544489997331,110.90826609126788,5871153315147943.0,0.2450716925376458,1.5408240723850024,126.0,101.07718452134323,19.780012284648233,4.945003071162058
0,Producto 17,3.3306467049063575,14.280162630134901,-0.007431822607520289,119.8643080346051,8864363662485395.0,0.20334257175216333,2.16506726130208,101.5,131.71731377047215,-29.770752483223788,-7.442688120805947
0,Producto 38,1.6782778871174486,3.2172986562473755,-0.6826253108319604,176.52239811382896,5883560244088028.0,0.10978873706814632,1.4126599748558046,21.0,49.970979716330184,-137.95704626823897,-34.48926156705974
0,Producto 134,0.11290322580645161,0.3951612903225806,-0.03333333333333344,6.451612903225806,0.03225806451612903,0.03333333333333333,0.03225806451612903,3.5,0.0,100.0,25.0
0,Producto 37,1.659654056614237,3.6765518027272757,-0.5021965486483477,185.69610809772522,5835430135591207.0,0.08059682264817288,1.3737227041683648,17.5,46.38572254450689,-165.06127168289652,-41.26531792072413
0,Producto 59,2.2981158355282014,8.963984021348487,-0.09194937818682924,147.32643631285555,3298161692148778.0,0.2984599785317567,1.0211712472008447,73.5,50.05901281856049,31.89249956658437,7.973124891646092
0,Producto 248,3.992845085439612,19.317106561662527,-0.6875359670703778,99.02001454042447,9092905744515452.0,0.4596989232430318,2.463900589380544,112.0,195.73421147026912,-74.76268881274028,-18.69067220318507
0,Producto 122,0.9681187872066235,1.1367108647729414,0.0,193.54838709677418,4360019409314126.0,0.0,0.9681187872066235,0.0,30.011682403405327,-inf,-inf
